,fid,idiip,id_prng,naz_glowna,el_rozroz,el_rodzaj,dopelniacz,przymiot,status_naz,kat_ob,rodzaj_ob,naz_m_nad,id_m_nad,infor_dod,sys_zew,id_zew,tyt_d_zrod,dat_d_zrod,wyd_d_zrod,reprez_ob,wsp_geo,wsp_XY,naz_his,naz_obo,naz_dod,jez_dod,lat_dod,endonim,jez_end,lat_end,egzonim,jez_egz,lat_egz,woj,powiat,gmina,id_gminy,pocz_w_ob,wer_ob,wazna_od,geometry,nearest1,cluster1,nearest2,nearest2_dist,cluster2,nearest3,nearest3_dist,cluster3,nearest4,nearest4_dist,cluster4,nearest5,nearest5_dist,cluster5,line1,line2,line3,line4,line5
10,11,PL.PZGiK.320.NGRP.2731,2731,Barczewo,Barczewo,,-ka,barczewski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0964577,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°49'42"" 20°41'25""",611216.52 663958.05,,,,,,,,,,,,warmińsko-mazurskie,olsztyński,Barczewo-gmina miejsko-wiejska,2814013,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-06-23,POINT (611216.5200000001 663958.0499999989),527,527,249,16880,249.0,-1,20894,249.0,-1,38178,848.0,-1,90625,244.0,"LINESTRING (611216.5200000001 663958.0499999989, 598008.88 657888.5300000012)","LINESTRING (611216.5200000001 663958.0499999989, 614489.7299999999 680518.6499999994)",,,
11,12,PL.PZGiK.320.NGRP.2756,2756,Bardo,Bardo,,-da,bardzki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0983801,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°30'23"" 16°44'26""",339825.28 295681.05,,,,,,,,,,,,dolnośląskie,ząbkowicki,Bardo-gmina miejsko-wiejska,0224013,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-08-18,POINT (339825.2800000001 295681.05000000075),294,294,262,9979,930.0,-1,19515,585.0,-1,32968,244.0,-1,38436,244.0,"LINESTRING (339825.2800000001 295681.05000000075, 333373.39 288217.08999999985)","LINESTRING (339825.2800000001 295681.05000000075, 349642.47 297475.32000000123)",,,
12,13,PL.PZGiK.320.NGRP.2836,2836,Barlinek,Barlinek,,-nka,barlinecki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0935268,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°59'50"" 15°13'10""",246396.7 576888.46,,,,,,,,,,,,zachodniopomorskie,myśliborski,Barlinek-gmina miejsko-wiejska,3210013,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-25,POINT (246396.70000000024 576888.46),570,570,-1,16701,869.0,-1,29559,829.0,-1,63355,848.0,-1,120585,244.0,"LINESTRING (246396.70000000024 576888.46, 252337.73000000013 581772.4099999992)",,,,
13,14,PL.PZGiK.320.NGRP.3074,3074,Bartoszyce,Bartoszyce,,-szyc,bartoszycki,urzędowa,miejscowość,miasto,,,do 2011 r. - istniała część miasta: Stoczki (nazwa zniesiona),TERYT (SIMC),0964583,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2011-12-27; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji; Minister Administracji i Cyfryzacji,punkt główny,"54°15'04"" 20°48'34""",617857.56 711153.85,,,,,,,,,,,,warmińsko-mazurskie,bartoszycki,Bartoszyce-gmina miejska,2801011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-05-25,POINT (617857.5599999999 711153.8499999996),692,692,-1,19308,249.0,-1,44637,249.0,-1,44637,848.0,-1,136828,244.0,"LINESTRING (617857.5599999999 711153.8499999996, 631179.6800000002 713416.8599999994)",,,,
14,15,PL.PZGiK.320.NGRP.3100,3100,Barwice,Barwice,,-wic,barwicki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0949649,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°44'41"" 16°21'19""",325646.16 656590.93,,,,,,,,,,,,zachodniopomorskie,szczecinecki,Barwice-gmina miejsko-wiejska,3215023,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-03-02,POINT (325646.1599999999 656590.9299999978),606,606,-1,21508,869.0,-1,21830,829.0,-1,21830,848.0,-1,208277,244.0,"LINESTRING (325646.1599999999 656590.9299999978, 308327.3300000001 659737.1600000001)",,,,
15,16,PL.PZGiK.320.NGRP.3670,3670,Bełchatów,Bełchatów,,-towa,bełchatowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0967647,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°21'45"" 19°21'54""",525410.31 388490.2,,,,,,,,,,,,łódzkie,bełchatowski,Bełchatów-gmina miejska,1001011,2021-04-08T09:00:00,2021-04-08T09:00:00,2019-12-17,POINT (525410.31 388490.2000000011),936,936,-1,19829,934.0,-1,22977,934.0,-1,35224,848.0,-1,35224,244.0,"LINESTRING (525410.31 388490.2000000011, 515279.2600000001 399771.3900000006)",,,,
16,17,PL.PZGiK.320.NGRP.3730,3730,Bełżyce,Bełżyce,,-życ,bełżycki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0955555,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°10'30"" 22°16'55""",729322.09 372701.79,,,,,,,,,,,,lubelskie,lubelski,Bełżyce-gmina miejsko-wiejska,0609013,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-12-01,POINT (729322.0900000002 372701.79000000004),478,478,-1,15078,607.0,-1,21581,863.0,-1,69158,863.0,-1,163080,244.0,"LINESTRING (729322.0900000002 372701.79000000004, 724123.3899999999 385031.69999999925)",,,,
17,18,PL.PZGiK.320.NGRP.4162,4162,Będzin,Będzin,,-na,będziński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0937899,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°19'27"" 19°08'09""",509667.18 273023.81,,,,,,,,,,,,śląskie,będziński,Będzin-gmina miejska,2401011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-09-29,POINT (509667.1799999999 273023.8100000005),129,129,113,4680,698.0,-1,16194,540.0,-1,85443,863.0,-1,85443,244.0,"LINESTRING (509667.1799999999 273023.8100000005, 513324.0100000001 272708.9599999981)","LINESTRING (509667.1799999999 273023.8100000005, 505098.49 272006.0599999996)",,,
18,19,PL.PZGiK.320.NGRP.4226,4226,Biała,Biała,,-łej,bialski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0965223,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°23'07"" 17°39'35""",404749.99 280660.9,,,Zülz,niemiecki,,,,,,,,opolskie,prudnicki,Biała-gmina miejsko-wiejska,1610013,2021-04-08T09:00:00,2021-04-08T09:00:00,2019-11-13,POINT (404749.9900000001 280660.9000000013),617,617,-1,23157,838.0,-1,23908,540.0,-1,25219,863.0,-1,25219,244.0,"LINESTRING (404749.9900000001 280660.9000000013, 398988.12000000005 273666.52999999933)",,,,
19,20,PL.PZGiK.320.NGRP.4410,4410,Biała Piska,Biała Piska,,-łej -kiej,bialski,urzędowa,miejscowość,miasto,,,do 2015 r. istniały części miasta: Kolonia Szkody i Olszyna - nazwy zniesione,TERYT (SIMC),0977640,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Rozporządzenie Ministra Admini",1991-01-01; 2012-12-13; 2014-12-04; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"53°36'39"" 22°03'43""",702482.92 642795.27,,,,,,,,,,,,warmińsko-mazurskie,piski,Biała Piska-gmina miejsko-wiejska,2816013,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-07-01,POINT (702482.92 642795.2699999986),784,784,-1,23956,680.0,-1,23956,249.0,-1,46479,848.0,-1,67315,244.0,"LINESTRING (702482.92 642795.2699999986, 717524.3800000001 638140.6699999999)",,,,
20,21,PL.PZGiK.320.NGRP.4412,4412,Biała Podlaska,Biała Podlaska,,-łej -kiej,bialski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0922018,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"52°02'02"" 23°07'23""",782697.16 471098.48,,,,,,,,,,,,lubelskie,Biała Podlaska,Biała Podlaska-gmina miejska,0661011,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-12-07,POINT (782697.1599999999 471098.48000000045),440,440,-1,34066,566.0,-1,34066,863.0,-1,61801,863.0,-1,61801,244.0,"LINESTRING (782697.1599999999 471098.48000000045, 759497.13 464650.04000000004)",,,,
21,22,PL.PZGiK.320.NGRP.4417,4417,Biała Rawska,Biała Rawska,,-łej -kiej,bialski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0977019,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°48'30"" 20°28'27""",601600.85 439025.61,,,,,,,,,,,,łódzkie,rawski,Biała Rawska-gmina miejsko-wiejska,1013023,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-08,POINT (601600.8500000001 439025.61000000034),658,658,469,18503,599.0,-1,21342,571.0,-1,44571,863.0,-1,44571,244.0,"LINESTRING (601600.8500000001 439025.61000000034, 586387.8200000001 433921.6200000001)","LINESTRING (601600.8500000001 439025.61000000034, 604423.8900000001 457312.27999999933)",,,
22,23,PL.PZGiK.320.NGRP.4784,4784,Białobrzegi,Białobrzegi,,-gów,białobrzeski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0973286,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°38'54"" 20°56'59""",634849.33 422008.37,,,,,,,,,,,,mazowieckie,białobrzeski,Białobrzegi-gmina miejsko-wiejska,1401013,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-05-09,POINT (634849.3299999998 422008.3700000001),912,912,-1,22407,629.0,-1,22407,571.0,-1,30936,863.0,-1,66421,244.0,"LINESTRING (634849.3299999998 422008.3700000001, 625796.2399999999 419203.79000000004)",,,,
23,24,PL.PZGiK.320.NGRP.4811,4811,Białogard,Białogard,,-du,białogardzki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0949690,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"54°00'30"" 15°59'09""",302549.64 686856.62,,,,,,,,,,,,zachodniopomorskie,białogardzki,Białogard-gmina miejska,3201011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-08,POINT (302549.64 686856.6200000001),271,271,-1,23961,869.0,-1,23961,829.0,-1,58024,848.0,-1,236802,244.0,"LINESTRING (302549.64 686856.6200000001, 295710.07999999996 690463.9100000001)",,,,
24,25,PL.PZGiK.320.NGRP.4921,4921,Biały Bór,Biały Bór,,-łego Boru,białoborski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0949767,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"53°53'46"" 16°50'08""",357819.28 672354.57,,,,,,,,,,,,zachodniopomorskie,szczecinecki,Biały Bór-gmina miejsko-wiejska,3215033,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-03-02,POINT (357819.2800000001 672354.5700000003),429,429,-1,23291,719.0,-1,23291,829.0,-1,23291,848.0,-1,230041,244.0,"LINESTRING (357819.2800000001 672354.5700000003, 367402.4099999999 683651.5099999988)",,,,
